vessel_id,registry_craft_code
553,1379283727
554,1392400885
555,1397561207
556,1421049430
557,1449123910
558,1470447382
559,1494708660
560,1580578912
561,1626552987
562,1634228115
563,1636394534
564,1730531946
565,1850754838
566,1888740037
567,1906228281
568,1911454108
569,1937610379
570,1982956478
571,2005855753
572,2020343808
573,2076572269
574,2092102253
575,2092170956
576,2092176395
577,2121931713
578,2847467211
579,2951566683
580,2951858776
581,3050601606
582,3063151386
583,3087820252
584,3174234975
585,3213176413
586,3221739894
587,3254213080
588,3286845031
589,3305658487
590,3349755201
591,3356729070
592,3533660660
593,3607341431
594,3661234977
595,3786626662
596,3796726860
597,3920992522
598,4133725978
599,4362852070
600,4429349690
601,4601118870
602,4694066929
603,4715002104
604,4718020751
605,4782895140
606,4787078630
607,4878533788
608,5031563629
609,5070405854
610,5135433627
611,5234267725
612,5289837316
613,5391463944
614,5416379885
615,5423221676
616,5527864627
617,6109953257
618,6289638256
619,6373244185
620,6599849789
621,6836011382
622,6850150088
623,6922821645
624,6947100030
625,6992405453
626,7122784544
627,7373517403
628,7448038716
629,7608662049
630,7618370812
631,7678189846
632,7887441680
633,8034252365
634,8182493641
635,8563373765
636,8681678240
637,9012857531
638,9127240777
639,9144820378
640,9349490992
641,9363907090
642,9512515122
643,9529738736
644,9746591697
645,9890273949
646,10194904158
647,10319195951
648,10358873051
649,10361461669
650,10364414597
651,10435260642
652,10503213728
653,10571910167
654,10641362335
655,10997076929
656,11001144657
657,11069785729
658,11142832566
659,11163364110
660,11416349627
661,11432519756
662,12000266480
663,12243405211
664,12690426452
665,13349238974
666,13429936361
667,13943904203
668,14029879668
669,14210455420
670,15479529974
671,15582734302
672,15609806567
673,15641234264
674,2088737536
675,1957841893
676,1903304138
677,1900954301
678,1900507249
679,1818922273
680,1786015440
681,1785240284
682,1751447154
683,1653065560
684,1636805201
685,1633085861
686,1630067007
687,1617319145
688,1579009803
689,6046
690,8913
691,9664722
692,16465640
693,17840413
694,20873661
695,20944691
696,53357330
697,58544073
698,64086838
699,70027577
700,79675292
701,84550572
702,95409342
703,98049643
704,102287907
705,102962512
706,129767470
707,130564957
708,133012651
709,139814653
710,146135345
711,153322479
712,162893106
713,184712773
714,198398023
715,226892552
716,257232593
717,288228722
718,339435268
719,345217616
720,351313528
721,421709675
722,510679981
723,514330187
724,514359860
725,521144935
726,542185835
727,597951244
728,600186625
729,601204739
730,603304965
731,603718816
732,605401253
733,618061047
734,657826407
735,663027861
736,718049976
737,806688028
738,842857002
739,872873710
740,878920519
741,907689251
742,909597136
743,910495299
744,919037882
745,928269467
746,979817389
747,997973869
748,1051105045
749,1054564139
750,1172304498
751,1245347395
752,1246893868
753,1247667199
754,1249243999
755,1294779954
756,1309340491
757,1347127732
758,1384560974
759,1402529043
760,1411305794
761,1446652357
762,1520530509
763,1544154410
764,1554390027
765,1578955077
766,1635504756
767,1636568420
768,1641509776
769,1668029865
770,1670679064
771,1704092734
772,1872721115
773,1897328164
774,1968157299
775,1972654725
776,2065402797
777,2126800159
778,2984727185
779,2990810448
780,3129663783
781,3223864739
782,3350417894
783,3734860861
784,3769933163
785,3833372829
786,3858651345
787,4043678060
788,4127007423
